id,partnerid,sessionid,ageyo,sex,ethnicity,rfattrac,rkindunder,sim_manuallandmarks,avg_manuallandmarks,LD1_manuallandmarks,year,ethnicityhighgroup,partnerclass_hg,ethnicmatch_hg,partnermasc_LDA_manuallandmarks,sim_NN,sim_autolandmarks,LD1_autolandmarks,gsd_autolandmarked,pitch_angle,roll_angle,yaw_angle,avg_NN,LD_NN,gsd_NN,gsd_manuallandmarks,avg_autolandmark
14000011,14001011,1401,17.5,1,Caucasian,4,5,-0.067196636,-0.093266648,-1.46146547,2014,Caucasian,Asian,-1,-1.238328053,-865.4854949,-0.078729648,2.023046336,1.180541203,5.5477986,-2.5655522,4.03212,-554.1080077,2.763230433,0.763759434,0.117514421,-0.047871779
14000011,14001012,1401,17.5,1,Caucasian,2,3,-0.067411296,-0.093266648,-1.46146547,2014,Caucasian,Caucasian,1,-1.407619965,-703.1211737,-0.085882006,2.023046336,1.180541203,5.5477986,-2.5655522,4.03212,-554.1080077,2.763230433,0.763759434,0.117514421,-0.047871779
14000011,14001013,1401,17.5,1,Caucasian,4,5,-0.062640513,-0.093266648,-1.46146547,2014,Caucasian,Asian,-1,-0.417350798,-808.9869334,-0.053338508,2.023046336,1.180541203,5.5477986,-2.5655522,4.03212,-554.1080077,2.763230433,0.763759434,0.117514421,-0.047871779
14000012,14001011,1401,18.16667,1,Caucasian,5,4,-0.058833622,-0.070625625,1.053908086,2014,Caucasian,Asian,-1,-1.238328053,-768.601962,-0.057665935,1.845981213,2.254922342,-1.8657728,1.1812357,-1.8890774,-518.2935838,4.05584872,1.016458852,2.288860542,-0.040915803
14000012,14001012,1401,18.16667,1,Caucasian,5,6,-0.082852539,-0.070625625,1.053908086,2014,Caucasian,Caucasian,1,-1.407619965,-756.159447,-0.084644362,1.845981213,2.254922342,-1.8657728,1.1812357,-1.8890774,-518.2935838,4.05584872,1.016458852,2.288860542,-0.040915803
14000012,14001013,1401,18.16667,1,Caucasian,6,5,-0.091937429,-0.070625625,1.053908086,2014,Caucasian,Asian,-1,-0.417350798,-872.7199554,-0.060538982,1.845981213,2.254922342,-1.8657728,1.1812357,-1.8890774,-518.2935838,4.05584872,1.016458852,2.288860542,-0.040915803
14000013,14001011,1401,21.16667,1,Caucasian,4,6,-0.074289037,-0.075476151,0.476487943,2014,Caucasian,Asian,-1,-1.238328053,-945.4776156,-0.070630333,1.478501387,3.236238732,-6.1422243,-0.7768706,11.87967,-674.0328007,3.635417171,0.748639126,2.455999761,-0.059181352
14000013,14001012,1401,21.16667,1,Caucasian,5,4,-0.057370929,-0.075476151,0.476487943,2014,Caucasian,Caucasian,1,-1.407619965,-776.2338486,-0.077165214,1.478501387,3.236238732,-6.1422243,-0.7768706,11.87967,-674.0328007,3.635417171,0.748639126,2.455999761,-0.059181352
14000013,14001013,1401,21.16667,1,Caucasian,4,5,-0.093508116,-0.075476151,0.476487943,2014,Caucasian,Asian,-1,-0.417350798,-996.8651639,-0.085190086,1.478501387,3.236238732,-6.1422243,-0.7768706,11.87967,-674.0328007,3.635417171,0.748639126,2.455999761,-0.059181352
14000014,14001011,1401,18.33333,1,Caucasian,5,4,-0.061965822,-0.066665472,0.007559735,2014,Caucasian,Asian,-1,-1.238328053,-805.7404855,-0.057081333,0.79244134,0.934986845,2.397561,-1.9965731,7.592426,-520.3043773,3.047994885,1.182365208,0.889235533,-0.056963265
14000014,14001012,1401,18.33333,1,Caucasian,5,5,-0.075390692,-0.066665472,0.007559735,2014,Caucasian,Caucasian,1,-1.407619965,-755.3058619,-0.068101511,0.79244134,0.934986845,2.397561,-1.9965731,7.592426,-520.3043773,3.047994885,1.182365208,0.889235533,-0.056963265
14000014,14001013,1401,18.33333,1,Caucasian,5,5,-0.060704049,-0.066665472,0.007559735,2014,Caucasian,Asian,-1,-0.417350798,-949.300638,-0.065001592,0.79244134,0.934986845,2.397561,-1.9965731,7.592426,-520.3043773,3.047994885,1.182365208,0.889235533,-0.056963265
14000022,14001021,1402,18.16667,1,Caucasian,5,5,-0.121226335,-0.063253465,2.596892753,2014,Caucasian,Caucasian,1,-1.081418756,-904.9963312,-0.105055388,2.219532628,3.698092247,-1.4255073,-0.67823154,7.0228558,-645.7843574,5.048176757,1.71156891,3.472652682,-0.068236321
14000022,14001022,1402,18.16667,1,Caucasian,3,7,-0.073808064,-0.063253465,2.596892753,2014,Caucasian,Caucasian,1,-1.215380349,-929.4863242,-0.064618056,2.219532628,3.698092247,-1.4255073,-0.67823154,7.0228558,-645.7843574,5.048176757,1.71156891,3.472652682,-0.068236321
